experiment_date,experiment_start_time,algorihm,size,initial_state,initial 0-norm,truncated_qew,num_states_explored,path_length,runtime
2025/08/16,17:01:06,greedy 0-norm,3,716028435,9,FALSE,319,44,0 days 00:00:00.724602
2025/08/16,17:01:27,greedy 1-norm,3,716028435,9,FALSE,202,60,0 days 00:00:00.269179
2025/08/16,17:16:19,A-star 0-norm,3,716028435,9,FALSE,2814,20,0 days 00:00:51.057631
2025/08/16,17:19:14,A-star 1-norm,3,716028435,9,FALSE,1445,20,0 days 00:00:12.473476
2025/08/16,17:51:25,FIFO qeuw BFS,3,716028435,9,TRUE,3143,38,0 days 00:00:39.924208
2025/08/17,08:47:43,taxicab total,3,716028435,9,FALSE,438,34,0 days 00:00:02.763179
2025/08/17,08:49:01,"A-star,  taxi",3,716028435,9,FALSE,419,20,0 days 00:00:02.200194
2025/08/17,08:55:13,greedy 0-norm,3,305682417,9,FALSE,410,44,0 days 00:00:01.184346
2025/08/17,09:45:02,A-star 0-norm,3,305682417,9,FALSE,39032,26,0 days 04:28:16.744282
2025/08/17,14:28:15,greedy 1-norm,3,305682417,9,FALSE,18822,90,0 days 00:40:53.629119
2025/08/17,15:11:49,taxicab total,3,305682417,9,FALSE,390,62,0 days 00:00:02.052511
2025/08/18,06:11:31,"A-star,  taxi",3,305682417,9,FALSE,3530,26,0 days 00:02:29.139851
2025/08/18,06:14:59,A-star 1-norm,3,305682417,9,FALSE,1634,26,0 days 00:00:15.401460
2025/08/19,08:01:31,greedy 0-norm,3,321406578,6,FALSE,446,39,0 days 00:00:01.421485
2025/08/19,08:01:46,A-star 0-norm,3,321406578,6,FALSE,1917,19,0 days 00:00:23.546345
2025/08/19,08:02:21,greedy 1-norm,3,321406578,6,FALSE,113,39,0 days 00:00:00.092392
2025/08/19,08:03:54,A-star 1-norm,3,321406578,6,FALSE,359,19,0 days 00:00:00.782298
2025/08/19,08:04:16,taxicab total,3,321406578,6,FALSE,89,21,0 days 00:00:00.127884
2025/08/19,08:04:24,"A-star,  taxi",3,321406578,6,FALSE,349,19,0 days 00:00:01.603657
2025/08/19,08:14:14,greedy 0-norm,3,716028435,9,FALSE,319,44,0 days 00:00:00.723711
2025/08/19,16:10:16,greedy 0-norm,3,573184620,7,FALSE,434,29,0 days 00:00:01.353062
2025/08/19,16:10:18,greedy 1-norm,3,573184620,7,FALSE,9234,65,0 days 00:07:39.032873
2025/08/19,16:17:57,taxicab total,3,573184620,7,FALSE,60,29,0 days 00:00:00.056034
2025/08/19,16:17:57,"weighted 0-norm A-star, w=2",3,573184620,7,FALSE,5493,23,0 days 00:03:13.361513
2025/08/19,16:21:10,"weighted 1-norm A-star, w=2",3,573184620,7,FALSE,5876,23,0 days 00:03:17.139628
2025/08/19,16:24:27,"weighted taxi  A -star, w=2",3,573184620,7,FALSE,515,23,0 days 00:00:03.468726